"filename", "language", "JSON", "JavaScript", "Properties", "comment", "blank", "total"
"c:\Users\408662\smartbox\smart_box_api\.env", "Properties", 0, 0, 3, 0, 1, 4
"c:\Users\408662\smartbox\smart_box_api\app.js", "JavaScript", 0, 119, 0, 11, 25, 155
"c:\Users\408662\smartbox\smart_box_api\config\database.js", "JavaScript", 0, 20, 0, 1, 4, 25
"c:\Users\408662\smartbox\smart_box_api\config\dbConfig.js", "JavaScript", 0, 15, 0, 0, 1, 16
"c:\Users\408662\smartbox\smart_box_api\config\socket.config.js", "JavaScript", 0, 22, 0, 2, 7, 31
"c:\Users\408662\smartbox\smart_box_api\controllers\add.component.controller.js", "JavaScript", 0, 133, 0, 64, 19, 216
"c:\Users\408662\smartbox\smart_box_api\controllers\auth.controller.js", "JavaScript", 0, 112, 0, 0, 16, 128
"c:\Users\408662\smartbox\smart_box_api\controllers\get.data.controller.js", "JavaScript", 0, 198, 0, 11, 20, 229
"c:\Users\408662\smartbox\smart_box_api\controllers\get.report.data.controller.js", "JavaScript", 0, 39, 0, 2, 3, 44
"c:\Users\408662\smartbox\smart_box_api\controllers\remove.component.controller.js", "JavaScript", 0, 118, 0, 0, 10, 128
"c:\Users\408662\smartbox\smart_box_api\controllers\search.controller.js", "JavaScript", 0, 19, 0, 1, 2, 22
"c:\Users\408662\smartbox\smart_box_api\controllers\task.controller.js", "JavaScript", 0, 142, 0, 7, 16, 165
"c:\Users\408662\smartbox\smart_box_api\controllers\transfer.component.controller.js", "JavaScript", 0, 75, 0, 0, 3, 78
"c:\Users\408662\smartbox\smart_box_api\middleware\auth.middleware.js", "JavaScript", 0, 39, 0, 4, 13, 56
"c:\Users\408662\smartbox\smart_box_api\middleware\check.user.role.js", "JavaScript", 0, 14, 0, 0, 3, 17
"c:\Users\408662\smartbox\smart_box_api\models\add.bin.model.js", "JavaScript", 0, 27, 0, 0, 2, 29
"c:\Users\408662\smartbox\smart_box_api\models\add.items.models.js", "JavaScript", 0, 77, 0, 1, 4, 82
"c:\Users\408662\smartbox\smart_box_api\models\associations.js", "JavaScript", 0, 48, 0, 1, 7, 56
"c:\Users\408662\smartbox\smart_box_api\models\bin.model.js", "JavaScript", 0, 45, 0, 0, 2, 47
"c:\Users\408662\smartbox\smart_box_api\models\item.model.js", "JavaScript", 0, 57, 0, 0, 4, 61
"c:\Users\408662\smartbox\smart_box_api\models\positions.model.js", "JavaScript", 0, 36, 0, 1, 7, 44
"c:\Users\408662\smartbox\smart_box_api\models\rack.model.js", "JavaScript", 0, 23, 0, 0, 8, 31
"c:\Users\408662\smartbox\smart_box_api\models\serve.items.models.js", "JavaScript", 0, 39, 0, 0, 1, 40
"c:\Users\408662\smartbox\smart_box_api\models\task.model.js", "JavaScript", 0, 44, 0, 0, 2, 46
"c:\Users\408662\smartbox\smart_box_api\models\transfer.bin.model.js", "JavaScript", 0, 35, 0, 0, 3, 38
"c:\Users\408662\smartbox\smart_box_api\models\transferItem.js", "JavaScript", 0, 35, 0, 0, 3, 38
"c:\Users\408662\smartbox\smart_box_api\models\user.model.js", "JavaScript", 0, 42, 0, 0, 3, 45
"c:\Users\408662\smartbox\smart_box_api\package-lock.json", "JSON", 4038, 0, 0, 0, 1, 4039
"c:\Users\408662\smartbox\smart_box_api\package.json", "JSON", 31, 0, 0, 0, 1, 32
"c:\Users\408662\smartbox\smart_box_api\routes\add.component.routes.js", "JavaScript", 0, 13, 0, 3, 6, 22
"c:\Users\408662\smartbox\smart_box_api\routes\auth.routes.js", "JavaScript", 0, 13, 0, 3, 4, 20
"c:\Users\408662\smartbox\smart_box_api\routes\get.data.routes.js", "JavaScript", 0, 32, 0, 0, 4, 36
"c:\Users\408662\smartbox\smart_box_api\routes\remove.component.routes.js", "JavaScript", 0, 13, 0, 0, 3, 16
"c:\Users\408662\smartbox\smart_box_api\routes\search.routes.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\408662\smartbox\smart_box_api\routes\task.routes.js", "JavaScript", 0, 11, 0, 0, 1, 12
"c:\Users\408662\smartbox\smart_box_api\routes\transfer.component.routes.js", "JavaScript", 0, 9, 0, 0, 4, 13
"c:\Users\408662\smartbox\smart_box_api\swagger-output.json", "JSON", 1023, 0, 0, 0, 0, 1023
"c:\Users\408662\smartbox\smart_box_api\swagger.js", "JavaScript", 0, 13, 0, 1, 3, 17
"c:\Users\408662\smartbox\smart_box_api\utils\utils.js", "JavaScript", 0, 41, 0, 0, 10, 51
"Total", "-", 5092, 1718, 3, 113, 227, 7153
